t,x,tau
1,0.70641481,10
2,0.758546511,10
3,0.819665679,10
4,0.881483774,10
5,0.937150022,10
6,0.983316373,10
7,1.019769886,10
8,1.048241643,10
9,1.071479867,10
10,1.092668913,10
11,1.114922362,10
12,1.140472247,10
13,1.169133702,10
14,1.196414869,10
15,1.214158262,10
16,1.215848694,10
17,1.200847842,10
18,1.172789788,10
19,1.136088335,10
20,1.094042021,10
21,1.048425191,10
22,0.999780062,10
23,0.948100473,10
24,0.893805471,10
25,0.838563246,10
26,0.785204583,10
27,0.736854638,10
28,0.696361835,10
29,0.666328988,10
30,0.649285687,10
31,0.647658167,10
32,0.663397131,10
33,0.697145381,10
34,0.746923818,10
35,0.807103797,10
36,0.869501177,10
37,0.926745696,10
38,0.974801475,10
39,1.012956863,10
40,1.042666621,10
41,1.066550702,10
42,1.087766795,10
43,1.109514637,10
44,1.134311238,10
45,1.162605212,10
46,1.190818797,10
47,1.211191493,10
48,1.216391284,10
49,1.204604392,10
50,1.178928408,10
51,1.143831584,10
52,1.102885907,10
53,1.058139145,10
54,1.010308301,10
55,0.959398097,10
56,0.905646494,10
57,0.850449259,10
58,0.796484272,10
59,0.746902058,10
60,0.704622192,10
61,0.672272914,10
62,0.652372759,10
63,0.647359696,10
64,0.65931003,10
65,0.689233768,10
66,0.735853471,10
67,0.794365305,10
68,0.856916733,10
69,0.91567955,10
70,0.96583468,10
71,1.006048589,10
72,1.037409921,10
73,1.062346836,10
74,1.083931922,10
75,1.10538549,10
76,1.129437722,10
77,1.157118658,10
78,1.185830719,10
79,1.208478925,10
80,1.217109261,10
81,1.208602228,10
82,1.18531436,10
83,1.151684655,10
84,1.111569986,10
85,1.067346648,10
86,1.019984427,10
87,0.969585412,10
88,0.916266403,10
89,0.861136511,10
90,0.806644336,10
91,0.755908628,10
92,0.711914434,10
93,0.677338486,10
94,0.654722615,10
95,0.646550162,10
96,0.655028347,10
97,0.681465354,10
98,0.725133097,10
99,0.781937466,10
100,0.844424303,10
101,0.904459861,10
102,0.956515724,10
103,0.9986397,10
104,1.03154473,10
105,1.057466594,10
106,1.079400124,10
107,1.100588102,10
108,1.12394078,10
109,1.150969168,10
110,1.179948222,10
111,1.204552322,10
112,1.216488008,10
113,1.211409765,10
114,1.190812435,10
115,1.158994635,10
116,1.1200437,10
117,1.076638802,10
118,1.029989168,10
119,0.980297052,10
120,0.927583043,10
121,0.872694939,10
122,0.817846511,10
123,0.766109516,10
124,0.720535309,10
125,0.683850613,10
126,0.658604174,10
127,0.647286112,10
128,0.65218275,10
129,0.674855944,10
130,0.715121773,10
131,0.769678417,10
132,0.831649647,10
133,0.892740863,10
134,0.946711942,10
135,0.990909895,10
136,1.025596786,10
137,1.052765978,10
138,1.075296474,10
139,1.096412408,10
140,1.119148626,10
141,1.145424429,10
142,1.174350041,10
143,1.200516825,10
144,1.215569837,10
145,1.213976319,10
146,1.196190867,10
147,1.166239205,10
148,1.128405807,10
149,1.085691975,10
150,1.039589661,10
151,0.990459751,10
152,0.938285878,10
153,0.883677035,10
154,0.828571762,10
155,0.775938836,10
156,0.728878024,10
157,0.690176982,10
158,0.662408973,10
159,0.648084845,10
160,0.64956916,10
161,0.668639376,10
162,0.705565079,10
163,0.757750693,10
164,0.81894167,10
165,0.880832982,10
166,0.936559516,10
167,0.982760389,10
168,1.019215497,10
169,1.047655375,10
170,1.070834405,10
171,1.091950287,10
172,1.11413646,10
173,1.139649262,10
174,1.168331665,10
175,1.195718446,10
176,1.213653381,10
177,1.215582595,10
178,1.200823979,10
179,1.172992835,10
180,1.136503562,10
181,1.09465995,10
182,1.049236749,10
183,1.000767561,10
184,0.949229571,10
185,0.895024081,10
186,0.839810794,10
187,0.786425734,10
188,0.73800495,10
189,0.697402142,10
190,0.667215159,10
191,0.649959798,10
192,0.648046752,10
193,0.66342546,10
194,0.696775744,10
195,0.746206039,10
196,0.806188343,10
197,0.868575947,10
198,0.925952458,10
199,0.974207478,10
200,1.012571566,10
201,1.04246432,10
202,1.0664841,10
203,1.087773707,10
204,1.109525527,10
205,1.134268012,10
206,1.162499613,10
207,1.19073106,10
208,1.211256968,10
209,1.216685752,10
210,1.205094487,10
211,1.179525279,10
212,1.144449576,10
213,1.103467586,10
214,1.058660163,10
215,1.010773582,10
216,0.959829821,10
217,0.906062588,10
218,0.850843331,10
219,0.796825974,10
220,0.747153129,10
221,0.704747366,10
222,0.672243333,10
223,0.652169172,10
224,0.646977538,10
225,0.658763183,10
226,0.688553694,10
227,0.735086408,10
228,0.793571136,10
229,0.856158878,10
230,0.915001597,10
231,0.965247701,10
232,1.005537486,10
233,1.036945196,10
234,1.061893947,10
235,1.083458464,10
236,1.104868067,10
237,1.128870445,10
238,1.156526378,10
239,1.185283995,10
240,1.208080991,10
241,1.216935596,10
242,1.208661692,10
243,1.185573582,10
244,1.152104662,10
245,1.112123017,10
246,1.068017359,10
247,1.020763728,10
248,0.970461055,10
249,0.917213637,10
250,0.862114763,10
251,0.807604947,10
252,0.756806379,10
253,0.712710453,10
254,0.677995247,10
255,0.655197966,10
256,0.646795086,10
257,0.65499282,10
258,0.681117763,10
259,0.724493216,10
260,0.781100749,10
261,0.843537122,10
